folioviv,tenencia,renta,ubica_geo,tam_loc,est_socio,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,cocina,cuart_dorm,num_cuarto,lugar_coc,agua_ent,ab_agua,dotac_agua,excusado,uso_compar,sanit_agua,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos,combus,eli_basura,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,medid_luz,bomba_agua,tanque_gas,aire_acond,calefacc,p_grietas,p_pandeos,p_levanta,p_humedad,p_fractura,p_electric,p_tuberias,antiguedad_no_especificada
100010906,4,0,1001,1,2,1,8,10,3,25.0,1,3,4,1,1,1,1,1,2,1,2,0,0,1,1,11,3,3,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100011801,3,0,1001,1,3,1,8,10,3,24.0,1,3,4,1,1,1,1,1,2,1,1,0,0,1,1,8,3,3,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100011802,3,0,1001,1,3,1,8,10,3,20.0,1,3,4,1,1,1,1,1,2,1,1,1,0,1,1,8,7,3,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100011803,1,2000,1001,1,3,1,8,10,3,1.0,1,1,3,1,1,1,1,1,2,1,1,0,0,1,1,5,3,3,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100011804,2,0,1001,1,3,1,8,10,3,20.0,1,4,5,1,1,1,1,1,2,1,2,0,0,1,1,10,3,3,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,0
100011805,1,1200,1001,1,3,1,8,10,3,1.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,3,3,3,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0
100011806,4,0,1001,1,3,1,8,10,3,24.0,1,2,5,1,1,1,1,1,2,1,1,0,0,1,1,8,3,3,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100012001,1,3000,1001,1,3,1,8,10,3,-1.0,1,3,4,1,1,1,2,1,2,1,1,1,0,1,1,10,3,3,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1
100012004,4,0,1001,1,3,1,8,10,3,16.0,1,3,5,1,1,1,1,1,2,1,2,0,0,1,1,7,3,3,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,0
100012005,1,4000,1001,1,3,1,8,10,3,1.0,1,2,4,1,1,1,1,1,2,1,1,0,0,1,1,7,3,3,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,0
