ID,renta_real,pred_lineal_pesos,pred_rf_pesos,pred_xgb_pesos,pred_lineal_log,pred_rf_log,pred_xgb_log,renta_real_log
Hogar_704,2500.0000000000005,3002.9296036932824,3056.2235985628186,2821.2942,8.007676578419455,8.02526246235072,7.9453053,7.824445930877619
Hogar_705,3499.9999999999977,2729.3891569594994,2618.416739680915,2611.662,7.91219942635677,7.87070695352958,7.868125,8.160803920954665
Hogar_706,2000.0,2586.4291802783964,2580.2615337912853,2387.9434,7.858420067258344,7.856033524996226,7.7786064,7.601402334583733
Hogar_707,4499.999999999999,4646.281802107856,4323.602179497762,4245.8564,8.444037768973878,8.372075433516397,8.353934,8.412054873292933
Hogar_708,1800.0,2325.4491896723775,2389.1859920573206,2606.0857,7.75209843123206,7.779126462842149,7.8659883,7.496097345175956
Hogar_709,4000.0000000000014,2908.7792518031247,2498.4862118468363,2754.0981,7.975832498801239,7.823840474473871,7.9212084,8.294299608857235
Hogar_710,1800.0,1567.2698604702275,1794.7589642472656,1729.171,7.357728290993732,7.493183032866308,7.4559755,7.496097345175956
Hogar_711,8000.0000000000055,9884.21264697381,8177.9348489100075,8178.2954,9.19879524745971,9.009317207048523,9.009361,8.987321812850125
Hogar_712,999.9999999999999,1011.0856910421671,1063.7123121607087,974.56995,6.919768521205543,6.970459912225436,6.883022,6.90875477931522
Hogar_713,2000.0,2961.6666732110853,2617.4941945254227,2776.3887,7.993845044860318,7.8703546966177615,7.9292665,7.601402334583733
Hogar_714,2000.0,3938.895810160852,4480.607463032555,4372.713,8.278909557820716,8.407737069765203,8.383368,7.601402334583733
Hogar_715,1200.0,1019.2188723435421,1078.6956540162078,1018.63873,6.927772463988128,6.984434478567822,6.9272037,7.0909098220799835
Hogar_716,3499.9999999999977,1927.2201880952155,2509.83507241626,2298.0889,7.564352674093122,7.828370674967873,7.740268,8.160803920954665
Hogar_717,999.9999999999999,1142.498894054755,1157.9031620370176,1229.7932,7.041848046304305,7.055229286817957,7.115414,6.90875477931522
Hogar_718,1499.9999999999995,1991.659141845279,1787.9296517469134,1994.6666,7.597225277911674,7.4893727600675435,7.5987334,7.313886831633462
Hogar_719,499.9999999999999,1065.7936433455068,1123.5196665428955,1101.7058,6.9724128336713465,7.025111260390853,7.0055223,6.2166061010848646
Hogar_720,499.9999999999999,1229.6518103954777,1057.9847130937294,1036.72,7.115299235155451,6.965065910269389,6.9447813,6.2166061010848646
Hogar_721,3499.9999999999977,2486.7464863097243,2542.6980667935177,2623.762,7.819132554097419,7.841374232979947,7.8727455,8.160803920954665
Hogar_722,2000.0,1009.502591038324,1048.69499142356,922.23975,6.918203100955504,6.956254916594301,6.827889,7.601402334583733
Hogar_723,1250.0000000000005,2218.5346592475694,1857.1861598478415,1619.4839,7.705052839942915,7.527356108029567,7.39048,7.1316985104669115
Hogar_724,2000.0,1126.1924541447377,1273.8912546343636,1148.4316,7.027485266226309,7.150616163472234,7.047023,7.601402334583733
Hogar_725,999.9999999999999,896.691704923435,1145.084476092021,1080.1671,6.799826696353943,7.044106608425334,6.9857965,6.90875477931522
Hogar_726,3899.9999999999973,3851.0761625430027,3707.8341156047413,4243.905,8.256367544929974,8.218472851659193,8.353475,8.268988209506656
Hogar_727,2999.9999999999995,2526.031800948447,2594.5664486750456,2561.3303,7.834800691776144,7.861560056432557,7.8486724,8.006700845440367
Hogar_728,999.9999999999999,1468.3111468923466,1480.735755438503,1455.9008,7.292548962385721,7.300969487285146,7.2840667,6.90875477931522
Hogar_729,1599.9999999999995,2274.1813807796175,1887.554617253362,1908.281,7.729815056022174,7.543567062705112,7.554482,7.3783837129967145
Hogar_730,1499.9999999999995,1585.270439641753,2023.0065904618223,1626.6635,7.369140904456535,7.612834286559082,7.394901,7.313886831633462
Hogar_731,2000.0,1667.4168571405546,1544.393074483542,1612.1158,7.419630466048153,7.343033574114744,7.385923,7.601402334583733
Hogar_732,1499.9999999999995,1871.185491718809,1843.4789828296696,1792.1682,7.534861739585328,7.5199521224636365,7.4917393,7.313886831633462
Hogar_733,2999.9999999999995,3140.1031872663943,2610.092843007572,2677.7896,8.052329350723458,7.867524126476584,7.8931203,8.006700845440367
Hogar_734,2999.9999999999995,2849.4724995250695,1834.7718670066909,2474.9082,7.95524004882821,7.51522030801711,7.8143625,8.006700845440367
Hogar_735,4000.0000000000014,3297.1096061128246,3632.9046841909903,3727.3267,8.101104736682775,8.198063019715873,8.223715,8.294299608857235
Hogar_736,2000.0,2578.0731343996536,2650.1290516641316,2599.2212,7.855185363137147,7.882740885475405,7.863352,7.601402334583733
Hogar_737,2300.0000000000005,3540.91020188016,3411.972793413298,3373.867,8.172421465644259,8.135338977416774,8.124111,7.741099090035366
Hogar_738,6000.000000000005,2809.8820735350296,2521.170467505799,2537.6335,7.941253618242479,7.832875106431654,7.839381,8.699681400989514
Hogar_739,2800.000000000001,1603.9112765638154,1605.3864521610972,1590.9272,7.380823754636662,7.381742495797191,7.3727007,7.937731775260109
Hogar_740,2000.0,1917.3015259042527,2327.7258621902693,2080.314,7.559195451588075,7.753076556726393,7.6407547,7.601402334583733
Hogar_741,999.9999999999999,1494.931248543174,1648.7612146552133,1562.0808,7.310504200622207,7.40838583803113,7.354414,6.90875477931522
Hogar_742,999.9999999999999,903.8186821383927,863.0731063351516,984.58295,6.807734572398642,6.761657379038342,6.8932333,6.90875477931522
Hogar_743,1700.0,2415.129749326258,2118.167631280242,2155.2656,7.789922261804019,7.65877866381339,7.676133,7.438971592395862
Hogar_744,5799.999999999996,3436.3973143920107,3885.751127075213,4195.2144,8.142469869351775,8.265328901808637,8.341938,8.665785595466064
Hogar_745,10999.999999999993,7582.437974898795,7049.270213442152,7994.9277,8.933721934503536,8.860821223219633,8.986688,9.305741456739435
Hogar_746,4000.0000000000014,4317.723120977072,4130.377048004786,4708.6094,8.370715063699697,8.326366056048112,8.45736,8.294299608857235
Hogar_747,1800.0,1868.3114806369863,1754.5016435427615,1801.1395,7.533325449876517,7.47050993183292,7.49673,7.496097345175956
Hogar_748,4499.999999999999,6389.394344447408,6074.01888141141,6107.5483,8.7625512582135,8.71194037625518,8.717444,8.412054873292933
Hogar_749,2000.0,3338.9528139965523,3062.8918213036195,2736.1758,8.113711958325009,8.027441223874149,7.914682,7.601402334583733
Hogar_750,2000.0,2389.352337309881,2198.774032810961,2199.7053,7.779196055528649,7.696109921712478,7.696533,7.601402334583733
Hogar_751,2000.0,2431.5245330085777,2407.5370314094484,2330.1467,7.796684899521564,7.786774801251827,7.7541156,7.601402334583733
Hogar_752,2500.0000000000005,3507.519787752059,2797.6019312744525,2690.9414,8.162949514622872,7.936875261207294,7.898018,7.824445930877619
Hogar_753,8000.0000000000055,6917.988874986987,6397.991876306916,5515.077,8.842024921604324,8.763895737613247,8.615422,8.987321812850125
Hogar_754,999.9999999999999,546.4672890364056,705.5704428583081,673.74646,6.305302713853562,6.560422903960004,6.514337,6.90875477931522
Hogar_755,2999.9999999999995,3114.2875839679473,3603.123237173022,2911.9082,8.044076749261219,8.18983381269772,7.9769073,8.006700845440367
Hogar_756,10000.00000000001,4934.749814238236,6751.108439443317,7064.6606,8.504259878368362,8.81761009649092,8.863002,9.210440366976517
Hogar_757,4000.0000000000014,4347.982074289115,4694.722027943648,4489.6763,8.377697090788526,8.454407166387888,8.409759,8.294299608857235
Hogar_758,1599.9999999999995,2492.5177203830253,2062.162942776239,1996.5917,7.8214497315913745,7.6319954933629095,7.5996976,7.3783837129967145
Hogar_759,999.9999999999999,971.3585434316361,1157.8747537014256,1270.0114,6.8797246082871935,7.055204773394647,7.147568,6.90875477931522
Hogar_760,8000.0000000000055,4148.82109390368,5615.11308898119,4627.2705,8.330820502392758,8.633395082429752,8.439939,8.987321812850125
Hogar_761,1499.9999999999995,3040.661587187322,2796.0946566352313,3012.5605,8.020159219815376,7.93633653482998,8.010878,7.313886831633462
Hogar_762,16000.000000000002,6121.746712047916,7567.915319048089,7767.1885,8.719766083979822,8.931805049381355,8.957792,9.680406499268875
Hogar_763,1800.0,1457.2855093005649,1540.7314496345634,1807.7383,7.285016715963413,7.340661381780124,7.500385,7.496097345175956
Hogar_764,14999.99999999999,26027.73669367551,10904.774844632833,9557.899,10.166956464105349,9.297047730181461,9.165228,9.61587214452889
